CHLOC1,CHLOC1D
SOF,SOFIA
FCO,ROME - FIUMICINO
BCN,BARCELONA
RHO,RHODES-PARADISI
LCA,LARNACA
NRT,TOKYO INTL.-NARITA
ETM,RAMON
RMO,CHISINAU
DME,MOSCOW-DOMODEDOVO
JFK,NEW YORK - J.F.KENNEDY
ATH,ATHENS
PFO,PAPHOS
OTP,BUCHAREST - OTOPENI
EWR,NEW YORK - NEWARK
ADD,ADDIS ABABA
MIA,MIAMI INTERNATIONAL
BOS,BOSTON-LOGAN INT
BKK,BANGKOK INTL.-SUVARNABHUMI
LAX,LOS ANGELES
HER,HERAKLION
BUD,BUDAPEST
RIX,RIGA
WAW,WARSAW
BOJ,BURGAS
TBS,TBILISI
PRG,PRAGUE-RUZYNE
SKG,THESSALONIKI
HKT,PHUKET
AMS,AMSTERDAM
MXP,MILAN-MALPENSA
CFU,CORFU
LTN,LUTON
BUS,BATUMI
MRS,MARSEILLE
MAD,MADRID
DXB,DUBAI
MUC,MUNICH
GPA,PATRAS ARAXOS
CDG,PARIS-CHARLES DE GAULLE
VCE,VENICE
FRA,FRANKFURT
BER,BERLIN BRANDENBURG INTL
VIE,VIENNA
TIV,TIVAT
ZRH,ZURICH
AUH,ABU DHABI
LED,ST. PETERSBURG
LHR,LONDON - HEATHROW
EVN,YEREVAN
SZG,SALZBURG
KRK,KRAKOW
AER,SOCHI
SZX,SHENZHEN  BAOAN INT.
TAS,TASHKENT
CND,CONSTANTA
KGS,KOS
ORY,PARIS-ORLY
JMK,MIKONOS
GYD,BAKU HEYDAR ALIYEV INT`L
VAR,VARNA
JTR,SANTORINI
LIS,LISBON
NCE,NICE
EFL,KEFALLINIA
FLL,FORT LAUDERDALE
IAS,IASI
TGD,PODGORICA
BEG,BELGRADE
KTW,KATOWICE
GVA,GENEVA
AOK,KARPATHOS
MJT,MITILINI
NAP,NAPLES-CAPODICHINO
JSH,SITIA
VRN,VILLAFRANCA-VERONA
OPO,PORTO
CHQ,KHANIA-SOUDABAY
CTA,CATANIA  FONTANAROSSA
KLV,KARLOVY VARY
OSL,OSLO
BRI,BARI -PALESE MACCHIE
MLH,MULHOUSE
KUN,KAUNAS
AGP,MALAGA
DUS,DUSSELDORF
LJU,LJUBLJANA
VNO,VILNIUS INTL
SKD,SAMARKAND
JRO,KILIMANJARO
ZAG,ZAGREB
BGY,BERGAMO
PZY,PIESTANY
ZNZ,ZANZIBAR
SEZ,MAHE SEYCHELLES INTL
TLV,TEL AVIV
PVK,PREVEZA
BRU,BRUSSELS
DEL,DELHI
CGN,COLOGNE-BONN
MLA,MALTA
SAW,ISTANBUL-SABIHA GOKCHEN
IST,ISTANBUL
SVO,MOSCOW
CTU,CHENGDU
HKG,HONG KONG INT'L
LGG,LIEGE
CAN,GUANGZHOU
CAI,CAIRO INTERNATIONAL
BAH,BAHRAIN
STN,LONDON -STANSTED
YYZ,TORONTO
BSL,BASEL
KBP,KIEV KYIV-BORISPOL
TEB,TETERBORO
VKO,MOSCOW-VNUKOVO
STR,STUTTGART
PVG,SHANGHAI PUDONG
ABZ,ABERDEEN
SSH,SHARM EL SHEIKH
SFO,SAN FRANCISCO
ESB,ANKARA-ESENBUGA
MAN,MANCHESTER
JNB,JOHANNESBURG
LEJ,LEIPZIG-HALLE
CMF,CHAMBERY-AIX LES BAINS
LBG,PARIS-LE BOURGET
HEL,HELSINKI
RAK,MARRAKESH
RZE,RZESZOW-JASIONKA
AMM,AMMAN (QUEEN ALIA INT'L)
PMI,PALMA DE MALLORCA
ODS,ODESA
SNN,SHANNON
AYT,ANTALYA
CRL,BRUSSELS -  CHARLEROI
DWC,DUBAI AL MAKTOUM INT AP
LIN,MILAN-LINATE
LYS,LYON - SATOLAS
AZI,AL BATEEN EXECUTIVE AP
EMA,NOTTINGHAM
LGW,LONDON - GATWICK
BOM,MUMBAI
BQH,BIGGIN HILL
RBA,RABAT
ZAZ,ZARAGOZA
BBU,BUCHAREST- BANEASA
DLM,DALAMAN
RVN,ROVANIEMI
BLQ,BOLOGNA-BORGO PANIGALE
ALA,ALMATY
BFS,BELFAST - ALDERGROVE
EIN,EINDHOVEN
SHJ,SHARJAH
TRN,TURIN
KIV,CHISINAU
MSQ,MINSK
TSF,TREVISO
WMI,WARSAW- MODLIN
DUB,DUBLIN
BED,BEDFORD-LAURENCE G. HANSCOM
CMN,CASABLANCA-MOHAMMED V
INN,INNSBRUCK
POZ,POZNAN
IAD,WASHINGTON-DULLES
FAB,FARNBOROUGH
SMV,SAMEDAN
TER,LAJES-AZORES
RPN,ROSH PINA
LHA,LAHR
BAK,BAKU
IRE,PRATICA DI MARE(MIL)
BHX,BIRMINGHAM
ADJ,AMMAN-MARKA
IND,INDIANAPOLIS
RMS,RAMSTEIN
BCM,BACAU
TIA,TIRANA
KID,KRISTIANSTAD
CFE,CLERMONT-FERRAND
FAR,FARO
BBK,KASANE INTERNATIONAL AIRPORT
ALL,ALBENGA
ISL,ISTANBUL-ATATURK
SCV,SUCEAVA-ROMANIA
BWE,BRAUNSCHWEIG
ORD,CHICAGO - O'HARE
MRV,MINERALNYE VODY
CIA,ROME - CIAMPINO
VLC,VALENCIA
CPH,COPENHAGEN KASTRUP
MHT,MANCHESTER AIRPORT USA
HAM,HAMBURG
PUF,PAU-FRANCE
BGI,BRIDGETOWN
SKP,SKOPJE
LNZ,LINZ
FKB,BADEN BADEN
AQJ,AQABA
BMA,STOCKHOLM-BROMMA
